text,id,label
" 5.If the settlement application is not filed, the Board may initiate any proceedings against you in accordance with law and you shall be permitted to file a settlement application only at the next stage in respect of proceedings pending before a Court or a tribunal, after conclusion of proceedings before the Adjudicating Officer or the Board, as the case may be.
                 ",4545,"[{""end"": 331, ""labels"": [""Authority""], ""start"": 311, ""text"": ""Adjudicating Officer""}, {""end"": 344, ""labels"": [""Authority""], ""start"": 339, ""text"": ""Board""}, {""end"": 32, ""labels"": [""Object-General""], ""start"": 10, ""text"": ""settlement application""}, {""end"": 56, ""labels"": [""Authority""], ""start"": 51, ""text"": ""Board""}, {""end"": 180, ""labels"": [""Object-General""], ""start"": 158, ""text"": ""settlement application""}, {""end"": 85, ""labels"": [""Objective""], ""start"": 57, ""text"": ""may initiate any proceedings""}, {""end"": 97, ""labels"": [""Subject-Individual""], ""start"": 94, ""text"": ""you""}, {""end"": 147, ""labels"": [""Objective""], ""start"": 125, ""text"": ""you shall be permitted""}, {""end"": 253, ""labels"": [""Authority""], ""start"": 247, ""text"": ""Court ""}, {""end"": 266, ""labels"": [""Authority""], ""start"": 258, ""text"": ""tribunal""}, {""end"": 299, ""labels"": [""Transaction""], ""start"": 274, ""text"": ""conclusion of proceedings""}]"
" (10)A foreign portfolio investor may lend or borrow securities in accordance with the framework specified by the Board in this regard.
                 ",3783,"[{""end"": 119, ""labels"": [""Authority""], ""start"": 114, ""text"": ""Board""}, {""end"": 96, ""labels"": [""Objective""], ""start"": 34, ""text"": ""may lend or borrow securities in accordance with the framework""}, {""end"": 33, ""labels"": [""Subject-Individual""], ""start"": 7, ""text"": ""foreign portfolio investor""}, {""end"": 63, ""labels"": [""Legal Term""], ""start"": 53, ""text"": ""securities""}]"
" 4C. The issuer shall enter into an arrangement with a depository registered with the Board for dematerialisation of the municipal debt securities that are proposed to be issued, in accordance with the Depositories Act, 1996, rules and regulations made thereunder.
                 ",2346,"[{""end"": 15, ""labels"": [""Subject-Organisation""], ""start"": 8, ""text"": "" issuer""}, {""end"": 48, ""labels"": [""Transaction""], ""start"": 22, ""text"": ""enter into an arrangement ""}, {""end"": 91, ""labels"": [""Authority""], ""start"": 86, ""text"": ""Board""}, {""end"": 113, ""labels"": [""Objective""], ""start"": 96, ""text"": ""dematerialisation""}, {""end"": 146, ""labels"": [""Legal Term""], ""start"": 121, ""text"": ""municipal debt securities""}, {""end"": 177, ""labels"": [""Objective""], ""start"": 156, ""text"": ""proposed to be issued""}, {""end"": 224, ""labels"": [""Legal Doc""], ""start"": 202, ""text"": ""Depositories Act, 1996""}, {""end"": 264, ""labels"": [""Legal Doc""], ""start"": 226, ""text"": ""rules and regulations made thereunder.""}, {""end"": 91, ""labels"": [""Subject-Organisation""], ""start"": 55, ""text"": ""depository registered with the Board""}]"
" (2)In any proceedings initiated by the Board, the Board shall comply with principles of natural justice before issuing directions to any person.
                 ",4343,"[{""end"": 69, ""labels"": [""Objective""], ""start"": 57, ""text"": ""shall comply""}, {""end"": 130, ""labels"": [""Transaction""], ""start"": 112, ""text"": ""issuing directions""}, {""end"": 144, ""labels"": [""Subject-Individual""], ""start"": 134, ""text"": ""any person""}, {""end"": 45, ""labels"": [""Authority""], ""start"": 40, ""text"": ""Board""}, {""end"": 56, ""labels"": [""Authority""], ""start"": 51, ""text"": ""Board""}, {""end"": 104, ""labels"": [""Legal Term""], ""start"": 75, ""text"": ""principles of natural justice""}, {""end"": 22, ""labels"": [""Object-General""], ""start"": 11, ""text"": ""proceedings""}, {""end"": 32, ""labels"": [""Transaction""], ""start"": 11, ""text"": ""proceedings initiated""}]"
" (3)The listed entity shall comply with the requirements with respect to preparation and disclosures in financial results in annual report as specified in Part B of Schedule IV.
                 ",4085,"[{""end"": 21, ""labels"": [""Subject-Organisation""], ""start"": 8, ""text"": ""listed entity""}, {""end"": 34, ""labels"": [""Objective""], ""start"": 22, ""text"": ""shall comply""}, {""end"": 138, ""labels"": [""Object-General""], ""start"": 125, ""text"": ""annual report""}, {""end"": 176, ""labels"": [""Legal Doc""], ""start"": 142, ""text"": ""specified in Part B of Schedule IV""}]"
" “(5) The advertisement shall urge the investors to invest only on the basis of information contained in the offer document.”
                 ",2385,"[{""end"": 23, ""labels"": [""Object-General""], ""start"": 10, ""text"": ""advertisement""}, {""end"": 48, ""labels"": [""Objective""], ""start"": 24, ""text"": ""shall urge the investors""}, {""end"": 48, ""labels"": [""Subject-Individual""], ""start"": 39, ""text"": ""investors""}, {""end"": 58, ""labels"": [""Object-General""], ""start"": 52, ""text"": ""invest""}, {""end"": 124, ""labels"": [""Legal Term""], ""start"": 109, ""text"": ""offer document.""}]"
" 24.(1) An Issuer, being a municipality, shall prepare its accounts in accordance with the National Municipal Accounts Manual or in accordance with similar Municipal Accounts Manual adopted by the respective State Government:
 Provided that in case of the Issuer being a corporate municipal entity, the accounts shall be prepared in accordance with section 129 and 134 of the Companies Act, 2013 and the rules made thereunder.
                 ",2453,"[{""end"": 17, ""labels"": [""Subject-Organisation""], ""start"": 11, ""text"": ""Issuer""}, {""end"": 39, ""labels"": [""Subject-Organisation""], ""start"": 27, ""text"": ""municipality""}, {""end"": 68, ""labels"": [""Objective""], ""start"": 41, ""text"": ""shall prepare its accounts ""}, {""end"": 125, ""labels"": [""Legal Doc""], ""start"": 91, ""text"": ""National Municipal Accounts Manual""}, {""end"": 181, ""labels"": [""Object-General""], ""start"": 148, ""text"": ""similar Municipal Accounts Manual""}, {""end"": 147, ""labels"": [""Transaction""], ""start"": 129, ""text"": ""in accordance with""}, {""end"": 196, ""labels"": [""Transaction""], ""start"": 182, ""text"": ""adopted by the""}, {""end"": 224, ""labels"": [""Subject-Organisation""], ""start"": 208, ""text"": ""State Government""}, {""end"": 262, ""labels"": [""Subject-Organisation""], ""start"": 256, ""text"": ""Issuer""}, {""end"": 297, ""labels"": [""Subject-Organisation""], ""start"": 271, ""text"": ""corporate municipal entity""}, {""end"": 67, ""labels"": [""Legal Term""], ""start"": 59, ""text"": ""accounts""}, {""end"": 311, ""labels"": [""Legal Term""], ""start"": 303, ""text"": ""accounts""}, {""end"": 329, ""labels"": [""Objective""], ""start"": 312, ""text"": ""shall be prepared""}, {""end"": 395, ""labels"": [""Legal Doc""], ""start"": 349, ""text"": ""section 129 and 134 of the Companies Act, 2013""}, {""end"": 348, ""labels"": [""Transaction""], ""start"": 330, ""text"": ""in accordance with""}, {""end"": 425, ""labels"": [""Transaction""], ""start"": 404, ""text"": ""rules made thereunder""}]"
" 25A. (1) The Board may, exempt any person or class of persons from the operation of all or any of the provisions of these regulations for a period as may be specified but not exceeding twelve months, for furthering innovation in technological aspects relating to testing new products, processes, services, business models, etc. in live environment of regulatory sandbox in the securities markets.
                 ",2795,"[{""end"": 19, ""labels"": [""Authority""], ""start"": 14, ""text"": ""Board""}, {""end"": 134, ""labels"": [""Objective""], ""start"": 20, ""text"": ""may, exempt any person or class of persons from the operation of all or any of the provisions of these regulations""}, {""end"": 134, ""labels"": [""Legal Doc""], ""start"": 123, ""text"": ""regulations""}, {""end"": 199, ""labels"": [""Date/Time""], ""start"": 172, ""text"": ""not exceeding twelve months""}, {""end"": 192, ""labels"": [""Value""], ""start"": 186, ""text"": ""twelve""}, {""end"": 251, ""labels"": [""Transaction""], ""start"": 205, ""text"": ""furthering innovation in technological aspects""}, {""end"": 370, ""labels"": [""Legal Term""], ""start"": 352, ""text"": ""regulatory sandbox""}, {""end"": 396, ""labels"": [""Legal Term""], ""start"": 378, ""text"": ""securities markets""}]"
" (2) The proceeds of the issue shall be clearly earmarked for a defined project or a set of projects for which requisite approvals have been obtained from concerned authorities.
                 ",2392,"[{""end"": 79, ""labels"": [""Object-General""], ""start"": 64, ""text"": ""defined project""}, {""end"": 100, ""labels"": [""Object-General""], ""start"": 85, ""text"": ""set of projects""}, {""end"": 177, ""labels"": [""Authority""], ""start"": 155, ""text"": ""concerned authorities.""}, {""end"": 30, ""labels"": [""Legal Term""], ""start"": 25, ""text"": ""issue""}, {""end"": 58, ""labels"": [""Objective""], ""start"": 31, ""text"": ""shall be clearly earmarked ""}]"
" 11.(1) The issuer may decide the amount of minimum subscription which it seeks to raise by issue of 24[municipal] debt securities and disclose the same in the offer document:
                 ",2384,"[{""end"": 18, ""labels"": [""Subject-Organisation""], ""start"": 11, ""text"": "" issuer""}, {""end"": 64, ""labels"": [""Objective""], ""start"": 19, ""text"": ""may decide the amount of minimum subscription""}, {""end"": 64, ""labels"": [""Object-General""], ""start"": 44, ""text"": ""minimum subscription""}, {""end"": 130, ""labels"": [""Legal Term""], ""start"": 104, ""text"": ""municipal] debt securities""}, {""end"": 174, ""labels"": [""Legal Term""], ""start"": 160, ""text"": ""offer document""}]"
" (2) Where the issuer is corporate municipal entity, one-third of its Board shall comprise of independent directors, as defined in section 149 of the Companies Act, 2013.
                 ",2445,"[{""end"": 21, ""labels"": [""Subject-Organisation""], ""start"": 15, ""text"": ""issuer""}, {""end"": 51, ""labels"": [""Subject-Organisation""], ""start"": 25, ""text"": ""corporate municipal entity""}, {""end"": 62, ""labels"": [""Value""], ""start"": 53, ""text"": ""one-third""}, {""end"": 75, ""labels"": [""Subject-Organisation""], ""start"": 70, ""text"": ""Board""}, {""end"": 115, ""labels"": [""Subject-Individual""], ""start"": 94, ""text"": ""independent directors""}, {""end"": 169, ""labels"": [""Legal Doc""], ""start"": 131, ""text"": ""section 149 of the Companies Act, 2013""}, {""end"": 93, ""labels"": [""Objective""], ""start"": 76, ""text"": ""shall comprise of""}]"
" (5)The compensation given to the key management personnel shall be disclosed in the Report of the depository under section 134 of the Companies Act, 2013.
                 ",3038,"[{""end"": 20, ""labels"": [""Object-General""], ""start"": 8, ""text"": ""compensation""}, {""end"": 58, ""labels"": [""Subject-Individual""], ""start"": 34, ""text"": ""key management personnel""}, {""end"": 109, ""labels"": [""Subject-Organisation""], ""start"": 99, ""text"": ""depository""}, {""end"": 91, ""labels"": [""Object-General""], ""start"": 85, ""text"": ""Report""}, {""end"": 77, ""labels"": [""Objective""], ""start"": 59, ""text"": ""shall be disclosed""}, {""end"": 154, ""labels"": [""Legal Doc""], ""start"": 116, ""text"": ""section 134 of the Companies Act, 2013""}]"
" 15.For the purposes of this Chapter:
(1)""banking company"" shall have the same meaning as assigned to it in clause (c) of section 5 of the Banking Regulation Act, 1949 (10 of 1949);
(2)""insurance company"" shall have the same meaning as assigned to it in sub-section (8) of section 2 of the Insurance Act, 1938 (4 of 1938);
(3)""person resident in India"" shall have the same meaning as assigned to it in clause (v) of section 2 of the Foreign Exchange Management Act, 1999 (42 of 1999);
(4)""person resident outside India"" shall have the same meaning as assigned to it in clause
(w) of section 2 of the Foreign Exchange Management Act, 1999 (42 of 1999).
(5)“public financial institution” shall have the same meaning as assigned to it in sub-section (72) of section 2 of the Companies Act, 2013
                 ",2828,"[{""end"": 57, ""labels"": [""Subject-Organisation""], ""start"": 42, ""text"": ""banking company""}, {""end"": 180, ""labels"": [""Legal Doc""], ""start"": 108, ""text"": ""clause (c) of section 5 of the Banking Regulation Act, 1949 (10 of 1949)""}, {""end"": 321, ""labels"": [""Legal Doc""], ""start"": 254, ""text"": ""sub-section (8) of section 2 of the Insurance Act, 1938 (4 of 1938)""}, {""end"": 86, ""labels"": [""Objective""], ""start"": 59, ""text"": ""shall have the same meaning""}, {""end"": 232, ""labels"": [""Objective""], ""start"": 205, ""text"": ""shall have the same meaning""}, {""end"": 380, ""labels"": [""Objective""], ""start"": 353, ""text"": ""shall have the same meaning""}, {""end"": 98, ""labels"": [""Transaction""], ""start"": 87, ""text"": ""as assigned""}, {""end"": 244, ""labels"": [""Transaction""], ""start"": 233, ""text"": ""as assigned""}, {""end"": 392, ""labels"": [""Transaction""], ""start"": 381, ""text"": ""as assigned""}, {""end"": 203, ""labels"": [""Subject-Organisation""], ""start"": 186, ""text"": ""insurance company""}, {""end"": 351, ""labels"": [""Subject-Individual""], ""start"": 327, ""text"": ""person resident in India""}, {""end"": 518, ""labels"": [""Subject-Individual""], ""start"": 488, ""text"": ""\""person resident outside India""}, {""end"": 547, ""labels"": [""Objective""], ""start"": 520, ""text"": ""shall have the same meaning""}, {""end"": 559, ""labels"": [""Transaction""], ""start"": 548, ""text"": ""as assigned""}, {""end"": 650, ""labels"": [""Legal Doc""], ""start"": 569, ""text"": ""clause\n(w) of section 2 of the Foreign Exchange Management Act, 1999 (42 of 1999)""}, {""end"": 684, ""labels"": [""Subject-Organisation""], ""start"": 655, ""text"": ""\u201cpublic financial institution""}, {""end"": 713, ""labels"": [""Objective""], ""start"": 686, ""text"": ""shall have the same meaning""}, {""end"": 725, ""labels"": [""Transaction""], ""start"": 714, ""text"": ""as assigned""}, {""end"": 484, ""labels"": [""Legal Doc""], ""start"": 402, ""text"": ""clause (v) of section 2 of the Foreign Exchange Management Act, 1999 (42 of 1999);""}, {""end"": 791, ""labels"": [""Legal Doc""], ""start"": 734, ""text"": "" sub-section (72) of section 2 of the Companies Act, 2013""}]"
"  Provided further that a person shall be nominated as a public interest director for a maximum of three terms across a depository / a recognized stock exchange / a recognized clearing corporation, subject to a maximum age limit of seventy five years.
                 ",3014,"[{""end"": 81, ""labels"": [""Subject-Individual""], ""start"": 57, ""text"": ""public interest director""}, {""end"": 110, ""labels"": [""Date/Time""], ""start"": 88, ""text"": ""maximum of three terms""}, {""end"": 130, ""labels"": [""Subject-Organisation""], ""start"": 120, ""text"": ""depository""}, {""end"": 160, ""labels"": [""Subject-Organisation""], ""start"": 135, ""text"": ""recognized stock exchange""}, {""end"": 196, ""labels"": [""Subject-Organisation""], ""start"": 165, ""text"": ""recognized clearing corporation""}, {""end"": 244, ""labels"": [""Value""], ""start"": 232, ""text"": ""seventy five""}, {""end"": 250, ""labels"": [""Date/Time""], ""start"": 211, ""text"": ""maximum age limit of seventy five years""}, {""end"": 110, ""labels"": [""Objective""], ""start"": 24, ""text"": ""a person shall be nominated as a public interest director for a maximum of three terms""}]"
" (3)An Alternative Investment Fund set up as a company shall be wound up in accordance with the provisions of the 49[Companies Act, 2013].
                 ",2756,"[{""end"": 34, ""labels"": [""Subject-Organisation""], ""start"": 7, ""text"": ""Alternative Investment Fund""}, {""end"": 54, ""labels"": [""Subject-Organisation""], ""start"": 47, ""text"": ""company""}, {""end"": 72, ""labels"": [""Objective""], ""start"": 55, ""text"": ""shall be wound up""}, {""end"": 136, ""labels"": [""Legal Doc""], ""start"": 117, ""text"": ""Companies Act, 2013""}]"
" (5)The issuer shall appoint one or more merchant bankers registered with the Board at least one of whom shall be a lead merchant banker.
                 ",2351,"[{""end"": 14, ""labels"": [""Subject-Organisation""], ""start"": 8, ""text"": ""issuer""}, {""end"": 28, ""labels"": [""Transaction""], ""start"": 15, ""text"": ""shall appoint""}, {""end"": 40, ""labels"": [""Value""], ""start"": 29, ""text"": ""one or more""}, {""end"": 57, ""labels"": [""Subject-Organisation""], ""start"": 41, ""text"": ""merchant bankers""}, {""end"": 83, ""labels"": [""Authority""], ""start"": 78, ""text"": ""Board""}, {""end"": 96, ""labels"": [""Value""], ""start"": 84, ""text"": ""at least one""}, {""end"": 136, ""labels"": [""Subject-Organisation""], ""start"": 116, ""text"": ""lead merchant banker""}, {""end"": 57, ""labels"": [""Objective""], ""start"": 15, ""text"": ""shall appoint one or more merchant bankers""}]"
" 34.Every designated depository participant shall, as and when required by the Board or the Reserve Bank of India, submit to the Board or the Reserve Bank of India, as the case may be, any information, such records or documents in relation to its activities of foreign portfolio investor.
                 ",3813,"[{""end"": 43, ""labels"": [""Subject-Organisation""], ""start"": 10, ""text"": ""designated depository participant""}, {""end"": 84, ""labels"": [""Authority""], ""start"": 79, ""text"": ""Board""}, {""end"": 113, ""labels"": [""Authority""], ""start"": 92, ""text"": ""Reserve Bank of India""}, {""end"": 134, ""labels"": [""Authority""], ""start"": 129, ""text"": ""Board""}, {""end"": 163, ""labels"": [""Authority""], ""start"": 142, ""text"": ""Reserve Bank of India""}, {""end"": 134, ""labels"": [""Objective""], ""start"": 115, ""text"": ""submit to the Board""}, {""end"": 200, ""labels"": [""Object-General""], ""start"": 189, ""text"": ""information""}, {""end"": 227, ""labels"": [""Object-General""], ""start"": 202, ""text"": ""such records or documents""}, {""end"": 287, ""labels"": [""Subject-Organisation""], ""start"": 261, ""text"": ""foreign portfolio investor""}, {""end"": 71, ""labels"": [""Date/Time""], ""start"": 51, ""text"": ""as and when required""}]"
